NAME,RTG,BYE,GP,FPTS,PTS ALLOW,YARDS ALLOW,PLAYS ALLOW,SACKS,FF,FR,INT,DEF TD, SP TD
"New Orleans Saints",83,14,5,41,91,1770,331,8,3,1,4,2,0
"Arizona Cardinals",73,13,6,37,109,2057,368,16,10,8,4,2,0
"Denver Broncos",87,9,6,36,110,1888,345,14,2,2,5,1,0
"Buffalo Bills",77,7,6,31,98,1621,347,13,6,6,3,1,0
"Carolina Panthers",80,13,6,29,121,1850,353,16,6,2,7,1,0
"New England Patriots",82,10,6,27,127,2155,394,13,2,2,6,3,0
"Dallas Cowboys",67,9,6,27,146,2287,361,11,3,4,4,9,0
"Chicago Bears",82,14,6,27,124,1985,367,21,3,4,4,3,0
"Indianapolis Colts",77,14,6,24,131,2199,371,12,6,8,2,3,0
"Cincinnati Bengals",63,10,6,23,111,1986,392,14,4,1,7,2,0
"Cleveland Browns",86,9,6,22,151,1846,361,18,3,2,3,2,0
"Tampa Bay Buccaneers",90,11,6,21,144,2014,361,12,3,2,3,2,0
"Minnesota Vikings",84,7,6,20,137,2150,385,21,4,4,2,4,0
"Miami Dolphins",86,11,6,19,177,2507,415,10,7,6,4,6,0
"Philadelphia Eagles",72,7,6,19,152,2083,409,11,3,1,4,5,0
"Los Angeles Rams",90,7,6,19,127,2202,413,18,6,2,5,1,0
"San Francisco 49ers",83,9,5,18,119,1649,312,11,5,1,3,2,0
"Pittsburgh Steelers",86,9,6,18,132,2114,379,15,9,3,4,1,0
"Los Angeles Chargers",76,8,6,17,150,2186,377,13,9,3,4,2,0
"Houston Texans",60,6,6,15,172,2347,376,10,8,2,7,2,0
"Jacksonville Jaguars",70,11,6,14,172,2473,390,8,1,0,8,3,2
"New York Giants",79,9,6,12,177,2408,399,10,3,3,6,1,0
"Kansas City Chiefs",80,8,6,12,176,2463,367,7,6,2,8,4,0
"New York Jets",72,10,5,11,121,1864,352,13,5,4,9,2,0
"Baltimore Ravens",88,10,6,10,123,2156,364,14,2,2,5,1,0
"Seattle Seahawks",70,11,6,10,149,2599,437,10,2,4,2,1,0
"Green Bay Packers",79,14,6,9,136,1890,361,13,1,3,3,2,0
"Detroit Lions",74,6,6,7,172,2307,362,13,4,3,4,0,0
"Atlanta Falcons",65,14,5,6,148,1763,305,9,5,2,3,2,0
"Tennessee Titans",68,6,6,5,161,2304,375,13,5,1,4,3,0
"Washington Commanders",93,14,6,4,186,2538,423,12,4,2,6,4,1
"Las Vegas Raiders",69,6,6,0,144,2120,413,16,4,4,4,0,0
