Your Name
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1675738004


Experiment #:,0
Rule:,0444131311323
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6388176076850436,2.103909910282364,,
1,5,,0.848,0.8461538461538461,1.9309964633041954,2.199687794731328,,
2,9,,0.768,0.7692307692307692,2.025271114883651,2.237397409783102,,
3,11,,0.744,0.6923076923076923,1.9103618057705556,1.9877733714879842,,
4,10,,0.696,0.6153846153846154,1.8780780975952256,1.922023142851573,,
5,1,,0.6719999999999999,0.5384615384615384,1.8498559862107693,1.8339272176418302,,
6,3,,0.5920000000000001,0.46153846153846156,1.680705304166515,1.6691803368667308,,
7,12,,0.5840000000000001,0.3846153846153846,1.6688877027799227,1.4885252948977485,,
8,2,,0.536,0.3076923076923077,1.446245643822039,1.1401156785146092,,
9,8,,0.41600000000000004,0.23076923076923073,1.3666676492483716,0.9912642605354288,,
10,4,,0.29600000000000004,0.15384615384615385,1.1721902428903117,0.7732283485249176,,
11,7,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,,
12,6,,0.0,0.0,-0.0,-0.0,,


Experiment #:,1
Rule:,0233324231312
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.860853658821338,2.038159681645953,,
1,8,,0.872,0.8461538461538461,2.1782383853418636,2.161978179679554,,
2,12,,0.864,0.7692307692307692,2.1883149370107517,2.199687794731328,,
3,7,,0.72,0.6923076923076923,2.219146803934397,2.161978179679554,,
4,5,,0.5760000000000001,0.6153846153846154,1.9265780029537152,2.038159681645953,,
5,11,,0.552,0.5384615384615384,1.8726127537023896,1.8919954870390203,,
6,4,,0.43200000000000005,0.46153846153846156,1.7383896262515415,1.8230264907128848,,
7,9,,0.352,0.3846153846153846,1.3889774358519529,1.4885252948977485,,
8,2,,0.30400000000000005,0.3076923076923077,1.2857715294906393,1.3520301017579528,,
9,3,,0.22399999999999998,0.23076923076923073,1.0364496370295277,1.1451104143815827,,
10,10,,0.17600000000000005,0.15384615384615385,0.7723837682023824,0.7732283485249176,,
11,6,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,,
12,1,,0.0,0.0,-0.0,-0.0,,


Experiment #:,2
Rule:,0114331233424
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8770293269451124,2.199687794731328,,
1,6,,0.84,0.8461538461538461,2.034133734200191,2.257756064128518,,
2,8,,0.72,0.7692307692307692,2.140911090759251,2.2954656791802917,,
3,2,,0.6719999999999999,0.6923076923076923,2.0100287780756485,2.199687794731328,,
4,11,,0.648,0.6153846153846154,1.98302603264919,2.0758692966977272,,
5,5,,0.504,0.5384615384615384,1.889328430120205,1.9877733714879842,,
6,9,,0.42400000000000004,0.46153846153846156,1.748677365723246,1.8230264907128848,,
7,12,,0.41600000000000004,0.3846153846153846,1.731591570578134,1.7004397181410922,,
8,1,,0.392,0.3076923076923077,1.5857482848076718,1.3520301017579528,,
9,10,,0.344,0.23076923076923073,1.46017985036092,1.1451104143815827,,
10,7,,0.19999999999999996,0.15384615384615385,0.9161182137782959,0.7732283485249176,,
11,4,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,,
12,3,,0.0,0.0,-0.0,-0.0,,


Experiment #:,3
Rule:,0414241131313
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8817617582511488,2.0758692966977272,,
1,1,,0.968,0.8461538461538461,1.9695549406861903,2.133937566094917,,
2,11,,0.944,0.7692307692307692,2.049399797397975,2.199687794731328,,
3,5,,0.8,0.6923076923076923,2.0889336900281696,2.103909910282364,,
4,2,,0.752,0.6153846153846154,2.1291771075111745,2.075869296697727,,
5,10,,0.704,0.5384615384615384,2.0886795611411153,1.9877733714879842,,
6,6,,0.552,0.46153846153846156,2.040660657975366,1.8810947601100747,,
7,7,,0.40800000000000003,0.3846153846153846,1.7774525255547489,1.7004397181410922,,
8,8,,0.28800000000000003,0.3076923076923077,1.3547267151590117,1.5058762556041068,,
9,9,,0.20799999999999996,0.23076923076923073,0.980752722495025,1.1451104143815827,,
