Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,0.1,66,1.003913477305294e-15,True
1,0.2,67,8.010834135208623e-16,True
1,0.3,67,1.513878783422019e-15,True
1,0.4,68,4.734468312696397e-16,True
1,0.5,71,1.9948507057928395e-18,True
1,0.6,67,7.932814325218083e-17,True
1,0.7,67,1.4701798841269524e-18,True
1,0.8,64,3.729414466340203e-17,True
1,0.9,67,2.548712164236982e-18,True
1,1.0,69,3.1210423594551104e-17,True
1,1.1,67,9.974550588925303e-16,True
1,1.2,71,2.4207252925078656e-15,True
1,1.3,71,2.787672537387803e-17,True
1,1.4,73,9.780125456035589e-17,True
1,1.5,69,8.744185038007571e-17,True
1,1.6,82,5.4813128385171776e-18,True
1,1.7,75,1.42329708118559e-17,True
1,1.8,83,4.194344501049995e-18,True
1,1.9,85,1.840535797831623e-17,True
1,2.0,81,3.4866456754139784e-16,True
1,2.1,88,3.060810643954993e-17,True
1,2.2,90,1.4256068100900474e-17,True
1,2.3,103,9.865049721704471e-20,True
1,2.4,111,4.749003340791333e-19,True
1,2.5,98,1.391489504588225e-15,True
1,2.6,110,2.446176453434969e-18,True
1,2.7,128,5.804417489074088e-21,True
1,2.8,148,7.91185812415052e-23,True
1,2.9,163,1.678045984924411e-22,True
1,3.0,204,2.9679156064949083e-25,True
1,3.1,249,3.590894840566046e-27,True
1,3.2,224,3.071706035794837e-25,True
1,3.3,545,0.0,True
1,3.4,689,0.0,True
1,3.5,999,0.0,True
1,3.6,999,0.0,True
1,3.7,999,3.1391930862364944e-25,True
1,3.8,999,3.8609637548010584e-16,True
1,3.9,999,2.6685843359088463e-17,True
1,4.0,999,4.9734823301841506e-11,True
2,0.1,66,1.7179172156874085e-15,True
2,0.2,70,3.6862696014608165e-15,True
2,0.3,64,1.6281672640238993e-16,True
2,0.4,66,2.3582901698667715e-15,True
2,0.5,69,9.249040548106384e-16,True
2,0.6,63,1.0248005295326778e-14,True
2,0.7,69,1.0195320103490684e-16,True
2,0.8,68,8.592546332659747e-18,True
2,0.9,68,1.1957291937253841e-16,True
2,1.0,68,1.7148543985301066e-15,True
2,1.1,66,1.939347168650587e-14,True
2,1.2,71,1.7683250548683653e-17,True
2,1.3,74,5.4672583211741555e-17,True
2,1.4,73,1.9238068056885476e-16,True
2,1.5,70,2.7794944321398717e-16,True
2,1.6,79,1.1140525231626053e-16,True
2,1.7,86,4.899675675848495e-18,True
2,1.8,88,5.0108038767272206e-17,True
2,1.9,90,5.468647308770961e-20,True
2,2.0,90,6.60705385880658e-17,True
2,2.1,85,2.0003514800820494e-15,True
2,2.2,92,3.2461153590706627e-18,True
2,2.3,93,1.5356982027792268e-17,True
2,2.4,108,9.72229603254484e-18,True
2,2.5,108,4.436606323530661e-19,True
2,2.6,101,4.2566830626108644e-20,True
2,2.7,121,8.551757806747567e-19,True
2,2.8,142,2.1703098436624978e-21,True
2,2.9,150,1.2967618693226989e-20,True
2,3.0,164,3.711355872945557e-23,True
2,3.1,226,6.279372248604515e-25,True
2,3.2,303,3.944304526105059e-30,True
2,3.3,474,0.0,True
2,3.4,672,0.0,True
2,3.5,999,0.0,True
2,3.6,999,0.0,True
2,3.7,999,9.906482084053011e-21,True
2,3.8,999,1.7041278781156006e-17,True
2,3.9,999,1.7245004692573744e-12,True
2,4.0,999,1.0307632305395575e-12,True
3,0.1,69,8.67302751734052e-15,True
3,0.2,67,5.480523180509892e-16,True
3,0.3,71,9.677789736942533e-16,True
3,0.4,69,5.957404379420595e-17,True
3,0.5,65,1.4166278427901694e-15,True
3,0.6,66,6.916837393920907e-17,True
3,0.7,65,1.0910209251083595e-16,True
3,0.8,72,5.945675073050367e-16,True
3,0.9,69,1.9072150387291557e-16,True
3,1.0,69,2.7489713809994047e-16,True
3,1.1,67,7.609460308819952e-17,True
3,1.2,72,3.832793158059677e-18,True
3,1.3,68,4.0826414105293795e-15,True
3,1.4,72,2.295640456847362e-15,True
3,1.5,76,1.543415099893257e-16,True
3,1.6,78,2.899112990368566e-16,True
3,1.7,70,6.388263870882221e-16,True
3,1.8,76,1.3941685213393045e-14,True
3,1.9,81,7.018882304540845e-17,True
3,2.0,89,1.2698052370504878e-18,True
3,2.1,89,7.517584914269173e-19,True
3,2.2,83,6.087884954873106e-17,True
3,2.3,90,3.995708404152818e-17,True
3,2.4,96,8.848335555103709e-17,True
3,2.5,115,9.296236058641337e-20,True
3,2.6,135,4.126646926257265e-21,True
3,2.7,131,6.248013520897651e-22,True
3,2.8,143,2.5776118305877922e-19,True
3,2.9,190,5.36425415550288e-28,True
3,3.0,187,1.6224905258828418e-21,True
3,3.1,185,2.985613890230159e-22,True
3,3.2,282,1.3260751816765208e-27,True
3,3.3,573,0.0,True
3,3.4,659,0.0,True
3,3.5,999,0.0,True
3,3.6,999,8.361925595342725e-28,True
3,3.7,999,3.590040373254781e-21,True
3,3.8,999,1.832007808313021e-15,True
3,3.9,999,1.438908255802979e-12,True
3,4.0,999,6.615505478718566e-11,True
4,0.1,68,8.837666535293151e-17,True
