Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,0.1,88,2.1770657809472063e-11,True
1,0.2,195,2.710902909103301e-11,True
1,0.3,999,0.0,True
1,0.4,190,3.3209862596801847e-09,False
1,0.5,142,6.486851433899748e-10,False
1,0.6,264,1.1790680213246337e-15,True
1,0.7,259,2.982978070206079e-17,True
1,0.8,214,2.085472132087528e-23,True
1,0.9,209,6.931757601788102e-14,True
1,1.0,198,4.169483236098498e-15,True
1,1.1,662,2.332241473685097e-13,True
1,1.2,479,4.1360193815888905e-14,True
1,1.3,318,2.6363977971519096e-28,True
1,1.4,318,1.0740200828691495e-18,True
1,1.5,724,2.758204096252348e-17,True
1,1.6,374,1.4393444974108988e-21,True
1,1.7,333,8.963020052903872e-19,True
1,1.8,333,5.055003707239538e-19,True
1,1.9,390,8.32043917059374e-21,True
1,2.0,804,1.1657753310806312e-19,True
1,2.1,473,4.8619714838588844e-20,True
1,2.2,692,2.8436983518277705e-21,True
1,2.3,494,3.8433930689608593e-20,True
1,2.4,652,1.2818989709841442e-28,True
1,2.5,771,1.7253374073315054e-27,True
1,2.6,760,6.057001677842155e-24,True
1,2.7,698,3.800226674552654e-24,True
1,2.8,999,3.5302147226140635e-20,True
1,2.9,852,7.741446261480233e-24,True
1,3.0,999,3.1773997152881275e-25,True
1,3.1,999,3.630986693305389e-15,True
1,3.2,999,1.1998033495746589e-15,True
1,3.3,999,9.039015503105952e-17,True
1,3.4,999,6.719011369955913e-14,True
1,3.5,999,1.7034936241979623e-14,True
1,3.6,999,1.9362202532717043e-09,False
1,3.7,999,1.9884496043831718e-07,False
1,3.8,999,2.3558456192969396e-06,False
1,3.9,999,5.148652447544913e-08,False
1,4.0,999,1.6484670415959408e-06,False
2,0.1,107,3.140598343837863e-17,True
2,0.2,109,6.814412761690789e-16,True
2,0.3,137,2.387322604842223e-12,True
2,0.4,391,1.3675594050228689e-22,True
2,0.5,473,6.516346453895421e-19,True
2,0.6,344,1.8467431006450192e-26,True
2,0.7,220,3.695449059530278e-11,True
2,0.8,202,3.5102346527693524e-20,True
2,0.9,279,5.799096348551812e-14,True
2,1.0,175,9.369255857403347e-14,True
2,1.1,288,4.550052177666982e-18,True
2,1.2,264,2.36079875953308e-16,True
2,1.3,470,4.43442482691716e-18,True
2,1.4,354,4.820975510838485e-27,True
2,1.5,386,2.0315312233333438e-14,True
2,1.6,508,2.0021085077128395e-16,True
2,1.7,590,1.8189385147491468e-24,True
2,1.8,390,1.3039543525508127e-20,True
2,1.9,742,0.0,True
2,2.0,492,8.016955784717252e-24,True
2,2.1,439,2.0026097028221947e-17,True
2,2.2,605,3.7286003723336886e-29,True
2,2.3,467,9.190105182062824e-19,True
2,2.4,776,4.0873857177600444e-20,True
2,2.5,667,1.3970275728924494e-21,True
2,2.6,711,2.844219437251373e-21,True
2,2.7,618,8.385502615304589e-20,True
2,2.8,746,8.330883918722278e-26,True
2,2.9,999,1.3750338616068e-25,True
2,3.0,999,1.8871687455768905e-21,True
2,3.1,990,1.251027818576061e-19,True
2,3.2,999,4.2204456897411284e-16,True
2,3.3,999,2.068587998473737e-11,True
2,3.4,999,1.372905342650219e-11,True
2,3.5,999,2.4093696088577045e-11,True
2,3.6,999,1.3594080004817063e-09,False
2,3.7,999,2.1117364562088944e-07,False
2,3.8,999,4.84976938935963e-07,False
2,3.9,999,2.6691969227930954e-06,False
2,4.0,999,1.816667787257933e-06,False
3,0.1,159,5.826372570333962e-11,True
3,0.2,155,3.826740068942598e-23,True
3,0.3,148,2.8150463538091535e-13,True
3,0.4,198,5.832142515594278e-12,True
3,0.5,389,0.0,True
3,0.6,214,5.057352080175534e-23,True
3,0.7,421,1.6839403867838575e-12,True
3,0.8,796,0.0,True
3,0.9,290,1.2810392692479727e-19,True
3,1.0,158,2.9901223195366644e-16,True
3,1.1,249,3.742916426787856e-17,True
3,1.2,375,3.791268638769406e-21,True
3,1.3,659,2.8039350901266166e-25,True
3,1.4,603,7.571231248416991e-17,True
3,1.5,396,1.672819039355729e-21,True
3,1.6,314,1.086334058123104e-15,True
3,1.7,429,1.4648657321096007e-19,True
3,1.8,347,2.327407551090087e-18,True
3,1.9,374,1.711154326570519e-18,True
3,2.0,465,8.130558884399508e-21,True
3,2.1,660,3.25925144287692e-16,True
3,2.2,562,1.6270843557985548e-21,True
3,2.3,784,4.8877722815735595e-19,True
3,2.4,760,2.0702325918386045e-22,True
3,2.5,769,4.339228016781328e-28,True
3,2.6,743,1.1195504240877657e-19,True
3,2.7,559,1.2446336359095622e-22,True
3,2.8,968,1.4756136270224789e-27,True
3,2.9,735,9.477643706120143e-23,True
3,3.0,976,4.663850208062515e-24,True
3,3.1,999,4.864848606658411e-23,True
3,3.2,999,4.1755189657646766e-14,True
3,3.3,999,1.2755119413788292e-14,True
3,3.4,999,9.6743249021993e-07,False
3,3.5,999,6.229325932933951e-12,True
3,3.6,999,1.8899021557837276e-09,False
3,3.7,999,1.1187284525920682e-10,False
3,3.8,999,2.9405082507451537e-08,False
3,3.9,999,3.0304608543017425e-06,False
3,4.0,999,4.6974929283615403e-07,False
4,0.1,149,1.4060783475693885e-15,True
4,0.2,72,2.820431732073716e-11,True
4,0.3,89,5.266112295439394e-11,True
4,0.4,194,1.1890110727109132e-23,True
4,0.5,134,7.406495024308182e-15,True
4,0.6,122,1.5013851142604015e-13,True
4,0.7,155,6.685695501791255e-14,True
4,0.8,291,5.744889403033334e-24,True
4,0.9,214,4.411892894439018e-19,True
4,1.0,355,2.240630735399317e-13,True
4,1.1,273,3.807797139334726e-20,True
4,1.2,370,1.8825425946000802e-26,True
4,1.3,352,3.0088527395193055e-21,True
4,1.4,301,1.0501779383559848e-14,True
4,1.5,321,1.899842436949289e-18,True
4,1.6,307,3.728642181607294e-19,True
4,1.7,410,2.3839901345496175e-23,True
4,1.8,567,6.987062618101429e-18,True
4,1.9,366,5.835979485375294e-19,True
4,2.0,462,4.951845673795952e-24,True
4,2.1,619,1.4917029040180114e-21,True
4,2.2,595,5.497682089011962e-25,True
4,2.3,554,9.1980662719883e-22,True
4,2.4,999,2.552956798773967e-11,True
4,2.5,588,8.5192304995601e-25,True
4,2.6,906,3.7286003723336886e-29,True
4,2.7,846,1.0805895565807942e-25,True
4,2.8,869,1.4111719938269497e-23,True
4,2.9,850,2.196977621040518e-28,True
