school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name,hire_date
Ohio,2022,0,0,0,0,,,-3.6,-4.6,31.6,35.2,Tim,Albin,2021-07-14T00:00:00.000Z
Indiana,2022,0,0,0,0,,,-3.8,-7.1,29.9,36.6,Tom,Allen,2016-12-01T00:00:00.000Z
Utah State,2022,0,0,0,0,,,-11.7,-13.3,25.4,38.5,Blake,Anderson,2020-12-12T00:00:00.000Z
Baylor,2022,0,0,0,0,,,11.9,11.7,37.6,26.1,Dave,Aranda,2020-01-22T00:00:00.000Z
UNLV,2022,0,0,0,0,,,-10.5,-11.9,20.8,34.1,Marcus,Arroyo,2019-12-11T00:00:00.000Z
Boise State,2022,0,0,0,0,,,0.6,5.7,24.1,18.5,Andy,Avalos,2021-01-08T00:00:00.000Z
Syracuse,2022,0,0,0,0,,,4.5,2.5,27.4,24.7,Dino,Babers,2015-12-15T00:00:00.000Z
South Carolina,2022,0,0,0,0,,,6.7,12.7,36,25.2,Shane,Beamer,2020-12-06T00:00:00.000Z
Illinois,2022,0,0,0,0,,,12.1,15.9,20.6,5.5,Bret,Bielema,2020-12-19T00:00:00.000Z
Rice,2022,0,0,0,0,,,-11.5,-15.2,23.1,36.9,Mike,Bloomgren,2017-12-06T00:00:00.000Z
Wyoming,2022,0,0,0,0,,,-10.7,-10.8,14.9,26.2,Craig,Bohl,2013-12-08T00:00:00.000Z
Louisiana Monroe,2022,0,0,0,0,,,-11.9,-15.7,23.2,39,Terry,Bowden,2020-12-23T00:00:00.000Z
San José State,2022,0,0,0,0,,,-5.4,-4.3,19.1,21.6,Brent,Brennan,2016-12-07T00:00:00.000Z
Purdue,2022,0,0,0,0,,,6.1,7.7,31.6,22.4,Jeff,Brohm,2016-12-05T00:00:00.000Z
UMass,2022,0,0,0,0,,,-24.1,-30.3,7.5,36.4,Don,Brown,2021-11-22T00:00:00.000Z
North Carolina,2022,0,0,0,0,,,3.2,7.8,41.7,35,Mack,Brown,2018-11-27T00:00:00.000Z
