id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401441993,2022,1,postseason,2022-12-16T16:30:00.000Z,false,true,true,false,,4779,Thomas Robinson Stadium,5,UAB,Conference USA,fbs,24,10,0,0,14,0.8271791406541286,1513,1514,193,Miami (OH),Mid-American,fbs,20,0,6,7,7,0.17282085934587144,1382,1381,5.8884815941,,HomeTown Lenders Bahamas Bowl
401441994,2022,1,postseason,2022-12-16T20:00:00.000Z,false,true,true,false,,5403,Orlando City Stadium,2653,Troy,Sun Belt,fbs,18,0,7,8,3,0.15567446009576474,1564,1578,2636,UT San Antonio,Conference USA,fbs,12,2,10,0,0,0.8443255399042353,1679,1665,8.3054331243,,Duluth Trading Cure Bowl
401508850,2022,1,postseason,2022-12-17T00:00:00.000Z,false,true,false,false,,3714,Fargodome,2449,North Dakota State,MVFC,fcs,35,3,14,7,11,0.1310348121339748,,,2916,Incarnate Word,Southland,fcs,32,16,0,13,3,0.8689651878660252,,,7.7104923579,,FCS Championship - Semifinals
401508871,2022,1,postseason,2022-12-17T00:00:00.000Z,false,true,true,false,,3852,Navy-Marine Corps Memorial Stadium,3071,North Central,CCIW,iii,28,7,7,0,14,,,,426,Mount Union,Ohio,iii,21,0,0,0,21,,,,,,Division III Championship
401441995,2022,1,postseason,2022-12-17T16:00:00.000Z,false,true,true,false,,4245,Fenway Park,97,Louisville,ACC,fbs,24,7,14,3,0,0.9967170648883703,1704,1745,2132,Cincinnati,American Athletic,fbs,7,0,7,0,0,0.0032829351116296923,1739,1698,4.0442406037,,Wasabi Fenway Bowl
401441996,2022,1,postseason,2022-12-17T17:00:00.000Z,false,true,true,false,,5348,Mercedes-Benz Stadium,2428,North Carolina Central,MEAC,fcs,41,10,7,9,8,0.9465998443241649,,,2296,Jackson State,SWAC,fcs,34,7,14,0,13,0.053400155675835115,,,7.4493350092,,Cricket Celebration Bowl
401508870,2022,1,postseason,2022-12-17T18:00:00.000Z,false,true,true,false,,6308,McKinney ISD Stadium,2222,Ferris State,GLIAC,ii,34,7,20,0,7,0.998925658980917,,,2146,Colorado Mines,Rocky Mountain,ii,14,0,0,7,7,0.0010743410190829916,,,3.4140490015,,Division II Championship
401441999,2022,1,postseason,2022-12-17T19:30:00.000Z,false,true,true,false,,6501,Allegiant Stadium,204,Oregon State,Pac-12,fbs,30,7,3,13,7,0.9957787677322958,1724,1791,57,Florida,SEC,fbs,3,0,0,0,3,0.004221232267704211,1650,1583,3.1690722914,,SRS Distribution Las Vegas Bowl
401442038,2022,1,postseason,2022-12-17T20:30:00.000Z,false,true,true,false,,7065,SoFi Stadium,278,Fresno State,Mountain West,fbs,29,7,9,6,7,0.9984729247939219,1709,1764,265,Washington State,Pac-12,fbs,6,0,0,6,0,0.0015270752060780879,1644,1589,3.0646441367,,Jimmy Kimmel LA Bowl Presented by Stifel
401508851,2022,1,postseason,2022-12-17T21:00:00.000Z,false,true,false,false,,5237,Coughlin-Alumni Stadium,2571,South Dakota State,MVFC,fcs,39,14,14,8,3,0.9987821962683868,,,147,Montana State,Big Sky,fcs,18,6,3,3,6,0.0012178037316131762,,,2.5513253159,,FCS Championship - Semifinals
401442041,2022,1,postseason,2022-12-17T22:45:00.000Z,false,true,true,false,,6526,Hancock Whitney Stadium,2572,Southern Mississippi,Sun Belt,fbs,38,7,10,7,14,0.9982197307788062,1289,1310,242,Rice,Conference USA,fbs,24,0,3,21,0,0.0017802692211937865,1073,1052,5.8903271402,,LendingTree Bowl
401441997,2022,1,postseason,2022-12-18T00:30:00.000Z,false,true,true,false,,3971,University Stadium,252,BYU,FBS Independents,fbs,24,7,3,14,0,0.5421489788322748,1524,1524,2567,SMU,American Athletic,fbs,23,10,0,0,13,0.45785102116772525,1506,1506,6.9892049870,,New Mexico Bowl
401442001,2022,1,postseason,2022-12-18T02:15:00.000Z,false,true,true,false,,1400,Toyota Stadium,68,Boise State,Mountain West,fbs,35,0,6,22,7,0.8893684993749037,1717,1712,249,North Texas,Conference USA,fbs,32,3,7,14,8,0.1106315006250963,1453,1458,7.7387757818,,Frisco Bowl Presented by SERVPRO
401442003,2022,1,postseason,2022-12-19T19:30:00.000Z,false,true,true,false,,3654,Brooks Stadium,41,Connecticut,FBS Independents,fbs,14,0,0,14,0,0.008391614249674155,1128,1117,276,Marshall,Sun Belt,fbs,28,14,7,7,0,0.9916083857503258,1576,1587,1.8388533056,,Myrtle Beach Bowl
401442004,2022,1,postseason,2022-12-20T20:30:00.000Z,false,true,true,false,,3653,Albertsons Stadium,23,San José State,Mountain West,fbs,27,13,0,7,7,0.15760226414042894,1480,1444,2199,Eastern Michigan,Mid-American,fbs,41,9,21,11,0,0.8423977358595711,1364,1400,3.7308956581,,Famous Idaho Potato Bowl
401442006,2022,1,postseason,2022-12-21T00:30:00.000Z,false,true,true,false,,3715,FAU Stadium,2649,Toledo,Mid-American,fbs,21,0,3,10,8,0.8982077332925146,1494,1493,2335,Liberty,FBS Independents,fbs,19,7,0,0,12,0.10179226670748542,1414,1415,6.7282841250,,RoofClaim.com Boca Raton Bowl
401442039,2022,1,postseason,2022-12-22T02:00:00.000Z,false,true,true,false,,3493,Mercedes-Benz Superdome,6,South Alabama,Sun Belt,fbs,23,0,3,14,6,0.0024808734213054894,1515,1471,98,Western Kentucky,Conference USA,fbs,44,14,17,10,3,0.9975191265786945,1663,1707,2.4608208197,,R+L Carriers New Orleans Bowl
401442040,2022,1,postseason,2022-12-23T00:30:00.000Z,false,true,true,false,,3616,Amon G. Carter Stadium,2005,Air Force,Mountain West,fbs,30,9,0,14,7,0.9985489571898268,1731,1763,239,Baylor,Big 12,fbs,15,0,7,0,8,0.0014510428101731643,1709,1677,4.8531412651,,Lockheed Martin Armed Forces Bowl
401442042,2022,1,postseason,2022-12-23T20:00:00.000Z,false,true,true,false,,3766,Independence Stadium,248,Houston,American Athletic,fbs,23,0,6,7,10,0.7367641147541935,1606,1616,309,Louisiana,Sun Belt,fbs,16,7,9,0,0,0.26323588524580654,1569,1559,7.0410870303,,Radiance Technologies Independence Bowl
401442007,2022,1,postseason,2022-12-23T23:30:00.000Z,false,true,true,false,,3886,Raymond James Stadium,142,Missouri,SEC,fbs,17,3,7,7,0,0.10380995208387514,1470,1459,154,Wake Forest,ACC,fbs,27,7,7,6,7,0.8961900479161249,1663,1674,7.4891871145,,Union Home Mortgage Gasparilla Bowl
401442009,2022,1,postseason,2022-12-25T01:00:00.000Z,false,true,true,false,,7220,Clarence T.C. Ching Athletics Complex,21,San Diego State,Mountain West,fbs,23,14,0,3,6,0.9897686362129651,1487,1481,2393,Middle Tennessee,Conference USA,fbs,25,0,13,3,9,0.01023136378703493,1369,1375,9.0467287900,,EasyPost Hawai'i Bowl
401442037,2022,1,postseason,2022-12-26T19:30:00.000Z,false,true,true,false,,3727,Ford Field,189,Bowling Green,Mid-American,fbs,19,0,0,7,12,0.13222433503278924,1123,1120,166,New Mexico State,FBS Independents,fbs,24,7,7,10,0,0.8677756649672108,1236,1239,4.5754250355,,Quick Lane Bowl
401441998,2022,1,postseason,2022-12-27T17:00:00.000Z,false,true,true,false,,3689,Cramton Bowl,2084,Buffalo,Mid-American,fbs,23,0,14,6,3,0.5304233151713541,1382,1384,290,Georgia Southern,Sun Belt,fbs,21,0,6,8,7,0.4695766848286459,1381,1379,8.9781858930,,Camellia Bowl
