Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,10,69,2.8754231036178357e-11,True
1,20,68,4.606094564184921e-17,True
1,30,66,2.8183318612773534e-16,True
1,40,69,2.432868346828099e-17,True
1,50,69,3.617083253183902e-16,True
1,60,75,3.342888843634874e-19,True
1,70,69,1.4500615841181737e-17,True
1,80,68,4.118937162877482e-18,True
1,90,70,5.367522781928217e-19,True
1,100,68,1.615914299436328e-16,True
2,10,58,2.9490642355194603e-13,True
2,20,66,6.494690071418408e-14,True
2,30,70,1.7088489485932097e-15,True
2,40,74,1.8013890758335696e-17,True
2,50,70,1.820197172787752e-16,True
2,60,72,7.327623834085371e-18,True
2,70,67,2.568656519660431e-17,True
2,80,70,3.608842356764045e-18,True
2,90,69,8.946475445172472e-21,True
2,100,70,1.0390776908864729e-17,True
3,10,71,9.767249795501995e-13,True
3,20,73,2.520477998174365e-14,True
3,30,69,3.800212446005871e-15,True
3,40,71,4.654663233650715e-17,True
3,50,66,4.8182030955324e-16,True
3,60,73,3.368417507109e-18,True
3,70,71,4.391679271786476e-19,True
3,80,72,1.2533112367560253e-16,True
3,90,73,1.3607260237572106e-18,True
3,100,70,3.547096831815761e-17,True
4,10,72,3.0029529895684054e-15,True
4,20,69,9.122287014554388e-12,True
4,30,67,2.6668977144307884e-15,True
4,40,72,6.033905430401631e-18,True
4,50,72,2.1681391306446484e-17,True
4,60,68,1.5767165264137447e-14,True
4,70,68,4.096160442969171e-18,True
4,80,73,9.806261892876415e-20,True
4,90,69,1.4192807978263714e-18,True
4,100,73,5.759895999848399e-19,True
5,10,62,4.298689828374777e-12,True
5,20,72,7.155910173580561e-14,True
5,30,68,2.6936191275279236e-15,True
5,40,67,3.600544398595599e-17,True
5,50,67,7.202163391252648e-17,True
5,60,69,8.944767383822909e-18,True
5,70,73,2.564495914650856e-19,True
5,80,70,2.403322846832945e-19,True
5,90,67,1.5700658050731525e-17,True
5,100,71,1.2489535327439218e-19,True
6,10,64,2.354396042131427e-11,True
6,20,64,1.872698208313533e-15,True
6,30,70,1.0721198017738569e-16,True
6,40,72,9.947674549426276e-17,True
6,50,74,4.283289824930803e-18,True
6,60,65,2.718440367498216e-15,True
6,70,69,4.1115693646183096e-17,True
6,80,78,1.4114924353586516e-20,True
6,90,67,7.405279304388447e-17,True
6,100,74,1.0074938640427104e-19,True
7,10,71,2.5145476494134945e-12,True
7,20,63,1.0705703360709968e-14,True
7,30,72,4.602741616128868e-16,True
7,40,67,1.3978171465637377e-15,True
7,50,72,4.8661320723308186e-17,True
7,60,68,5.40933947844574e-19,True
7,70,65,5.2110903237485755e-17,True
7,80,70,2.3756632740806527e-17,True
