Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,0.1,134,2.374658480048564e-11,True
1,0.2,73,4.582133485092087e-13,True
1,0.3,69,5.150345508851603e-17,True
1,0.4,71,2.2613528633961857e-18,True
1,0.5,63,1.4579308543536307e-14,True
1,0.6,67,3.992881603300789e-17,True
1,0.7,64,1.6099403714459933e-15,True
1,0.8,66,5.325824815244746e-14,True
1,0.9,68,1.5489066456139365e-17,True
1,1.0,69,1.1407134655351054e-17,True
1,1.1,71,5.20643686640896e-17,True
1,1.2,77,9.600381575852929e-19,True
1,1.3,73,7.463373828519182e-18,True
1,1.4,70,2.4792807228975928e-15,True
1,1.5,73,4.802107697610223e-16,True
1,1.6,78,2.772329252555612e-17,True
1,1.7,73,1.1518350986388886e-15,True
1,1.8,77,1.5785693817994675e-17,True
1,1.9,80,7.455850214395714e-17,True
1,2.0,89,6.212833470470529e-19,True
1,2.1,89,5.701066206046484e-17,True
1,2.2,93,1.122581839042299e-16,True
1,2.3,98,4.4748346017390054e-17,True
1,2.4,105,9.217594233220316e-18,True
1,2.5,104,2.2092980859825832e-17,True
1,2.6,128,6.732633243129783e-18,True
1,2.7,142,1.4712322146687909e-22,True
1,2.8,177,2.3548760198295556e-25,True
1,2.9,172,1.0310342707719995e-20,True
1,3.0,210,4.600299561211959e-23,True
1,3.1,309,0.0,True
1,3.2,336,7.888609052210118e-30,True
1,3.3,577,0.0,True
1,3.4,749,0.0,True
1,3.5,999,0.0,True
1,3.6,999,3.155443620884047e-28,True
1,3.7,999,5.467706256646042e-18,True
1,3.8,999,2.48678401483954e-13,True
1,3.9,999,7.921769432289545e-12,True
1,4.0,999,1.6252958611544165e-10,False
2,0.1,149,0.015673593065390547,False
2,0.2,73,2.9796425101222427e-15,True
2,0.3,62,2.951656606305355e-15,True
2,0.4,68,2.0606524567335814e-17,True
2,0.5,71,2.3596994853700595e-17,True
2,0.6,66,6.88112152449991e-17,True
2,0.7,70,8.44918961488966e-18,True
2,0.8,72,2.5860804894895963e-18,True
2,0.9,75,1.7286355564265694e-19,True
2,1.0,68,1.4145036376480543e-16,True
2,1.1,67,1.2847592134511435e-15,True
2,1.2,69,1.6557077146668678e-15,True
2,1.3,79,2.4975263721959277e-20,True
2,1.4,69,3.734935059910734e-17,True
2,1.5,79,1.7582457091052666e-18,True
2,1.6,78,7.422495112210706e-18,True
2,1.7,76,1.5323667576582765e-16,True
2,1.8,73,2.256353962866419e-16,True
2,1.9,89,1.0074460635122732e-17,True
2,2.0,84,1.3228797789770146e-19,True
2,2.1,95,1.9014492111462207e-18,True
2,2.2,109,8.616535627430345e-21,True
2,2.3,87,1.7974943290244796e-16,True
2,2.4,101,7.234267140735726e-18,True
2,2.5,113,8.217241692485756e-20,True
2,2.6,120,1.4410706808888075e-20,True
2,2.7,146,5.2325308560622167e-20,True
2,2.8,208,3.5189507260098895e-26,True
2,2.9,169,6.553565624079919e-21,True
2,3.0,241,4.543838814073028e-26,True
2,3.1,244,4.109718046961869e-21,True
2,3.2,409,0.0,True
2,3.3,412,0.0,True
2,3.4,667,0.0,True
2,3.5,999,0.0,True
2,3.6,999,1.0044964754252823e-22,True
2,3.7,999,7.565835582039131e-19,True
2,3.8,999,4.9797721093833017e-14,True
2,3.9,999,1.4127624082540205e-10,False
2,4.0,999,1.4177972794032286e-09,False
3,0.1,135,3.4743980881582697e-12,True
3,0.2,72,1.1000135416211109e-14,True
3,0.3,70,7.602087714929477e-18,True
3,0.4,68,7.538689351355518e-15,True
3,0.5,69,2.5104751873986694e-18,True
3,0.6,70,7.962239475122548e-20,True
3,0.7,67,2.0237139625775817e-16,True
3,0.8,69,1.401556905843474e-17,True
3,0.9,65,1.1230754402352598e-16,True
3,1.0,64,1.5488058405947167e-16,True
3,1.1,67,4.426472262840998e-15,True
3,1.2,73,1.830869078672421e-17,True
3,1.3,74,1.970165766627989e-16,True
3,1.4,76,1.4860121834385976e-17,True
3,1.5,78,1.8519407712883445e-17,True
3,1.6,70,1.6711023947459145e-15,True
3,1.7,75,8.828235616996145e-15,True
3,1.8,80,1.1593197632299777e-16,True
3,1.9,75,9.070269697599952e-17,True
3,2.0,96,1.014112835010333e-20,True
3,2.1,81,1.2747547100059594e-15,True
3,2.2,93,1.192094785050312e-16,True
3,2.3,96,4.097000587163327e-17,True
3,2.4,114,1.4413042958138875e-20,True
3,2.5,112,1.1239136998093085e-18,True
3,2.6,117,7.036038649288825e-21,True
3,2.7,148,6.458038600767503e-19,True
3,2.8,154,2.290886901467291e-19,True
3,2.9,180,1.837397788933837e-22,True
3,3.0,203,7.775557395882895e-25,True
3,3.1,254,7.060431319472891e-25,True
3,3.2,321,1.9248206087392688e-28,True
3,3.3,478,1.262177448353619e-29,True
3,3.4,782,0.0,True
3,3.5,999,0.0,True
3,3.6,999,2.0904813988356813e-26,True
3,3.7,999,2.9589252233690705e-16,True
3,3.8,999,8.583712575977832e-16,True
3,3.9,999,2.0249064205809303e-11,True
3,4.0,999,1.6259821317155973e-08,False
4,0.1,134,8.850992019833167e-10,False
4,0.2,84,0.011255804578589547,False
4,0.3,69,1.7901862573001085e-16,True
4,0.4,66,9.809640469976444e-16,True
4,0.5,66,5.345896451915937e-16,True
4,0.6,63,2.597520040609098e-15,True
4,0.7,70,1.8926162799616782e-16,True
4,0.8,71,3.167139158886349e-16,True
4,0.9,70,8.369145795144904e-18,True
4,1.0,67,9.107757052688132e-16,True
4,1.1,72,3.9906675165058987e-19,True
4,1.2,65,7.652683456897613e-17,True
4,1.3,76,1.435755368774833e-16,True
4,1.4,66,8.998517823121603e-16,True
4,1.5,67,1.3431620349538926e-15,True
4,1.6,77,5.1804083957256664e-17,True
4,1.7,76,7.734780322639926e-18,True
4,1.8,76,5.370049433651739e-16,True
4,1.9,79,7.527803605440201e-17,True
4,2.0,92,3.1106007099196494e-19,True
4,2.1,96,4.1340269750248953e-19,True
4,2.2,101,8.18534040462874e-21,True
4,2.3,110,6.373503817649263e-21,True
4,2.4,117,5.3672632023169734e-21,True
4,2.5,109,6.786025060589432e-18,True
4,2.6,113,1.6649246076679294e-18,True
4,2.7,137,9.757936491153755e-21,True
4,2.8,159,4.1580044619953015e-21,True
4,2.9,163,2.519494403840441e-20,True
4,3.0,198,1.0211870761288127e-22,True
4,3.1,214,1.2561356097755272e-20,True
4,3.2,324,3.1554436208840472e-30,True
