N,p_m,p_c,tournament_size,iteration,generation,average_fitness,best_fitness,best_genome,solution_found,num_solutions_found
25,0.0,0.0,2,1,0,0.04109996952358306,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,1,0.04904640530235839,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,2,0.0627504525891945,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,3,0.1069462076539634,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,4,0.14669300760369341,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,5,0.1660592985908589,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,6,0.19273837353592577,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,7,0.21766037910814592,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,8,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,9,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,10,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,11,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,12,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,13,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,14,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,15,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,16,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,17,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,18,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,19,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,20,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,21,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,22,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,23,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
25,0.0,0.0,2,1,24,0.2375979835659221,0.2375979835659221,"[1 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1
 1 0 1]",False,0
