Run,Parameter,Epoch_Stop,Fitness,Solution_Found
1,0.1,48,1.4484380736027923e-18,True
1,0.2,51,9.098777759994269e-20,True
1,0.3,54,1.5411078084874601e-15,True
1,0.4,59,2.575872617024368e-17,True
1,0.5,70,7.294309254578607e-17,True
1,0.6,90,4.1999973805579685e-17,True
1,0.7,117,2.1604885156501586e-16,True
1,0.8,203,5.201973699798475e-18,True
1,0.9,823,5.535863351255112e-23,True
1,1.0,999,2.962276487723399e-05,False
2,0.1,55,0.0029818232106842753,False
2,0.2,48,1.0537686797604158e-20,True
2,0.3,55,2.459677213775333e-19,True
2,0.4,62,1.4016087619807159e-19,True
2,0.5,69,5.9969257210845995e-18,True
2,0.6,84,1.3445110133157457e-16,True
2,0.7,123,1.295689539223415e-17,True
2,0.8,200,6.639742789179933e-17,True
2,0.9,878,1.1438483125704671e-28,True
2,1.0,999,2.2134572922002475e-05,False
3,0.1,50,1.5696520724167358e-08,False
3,0.2,50,4.45379185797089e-17,True
3,0.3,55,3.78223426931426e-20,True
3,0.4,58,8.308519900481056e-18,True
3,0.5,62,1.2983894229643636e-16,True
3,0.6,84,7.501841983291665e-16,True
3,0.7,115,1.200753275552548e-16,True
3,0.8,196,9.764548869693623e-18,True
3,0.9,753,3.799003178898788e-22,True
3,1.0,999,4.014345440273196e-05,False
4,0.1,48,8.28671794075136e-08,False
4,0.2,55,4.4367521733413e-19,True
4,0.3,56,1.2148462465309734e-20,True
4,0.4,65,3.117094367019262e-19,True
4,0.5,75,8.5516052854377e-19,True
4,0.6,85,2.706083686712181e-15,True
4,0.7,117,1.4882097390585993e-16,True
4,0.8,184,1.1353706570032429e-16,True
4,0.9,935,6.956254348329404e-26,True
4,1.0,999,0.00018358443378687684,False
5,0.1,49,1.0912971216626978e-14,True
5,0.2,50,4.540987877947293e-18,True
5,0.3,55,9.320458163213742e-19,True
5,0.4,58,8.910868503128763e-16,True
5,0.5,64,4.681795360580807e-16,True
5,0.6,83,3.1917285942822444e-16,True
5,0.7,113,4.202125473211397e-16,True
5,0.8,206,2.402027128417473e-17,True
5,0.9,817,1.2058487801960492e-22,True
5,1.0,999,1.914123629619117e-05,False
6,0.1,57,0.09391367505047696,False
6,0.2,51,9.862612422720474e-19,True
6,0.3,58,2.802744071481788e-20,True
6,0.4,59,4.870250495871706e-17,True
6,0.5,72,6.590517644486462e-18,True
6,0.6,82,1.341370109331128e-16,True
6,0.7,124,2.4462483823820966e-17,True
6,0.8,187,6.957737900787914e-17,True
6,0.9,898,6.338147908069817e-24,True
6,1.0,999,2.4275440809000816e-06,False
7,0.1,47,1.0323547894446516e-18,True
7,0.2,47,5.934659975907822e-18,True
7,0.3,56,4.3616064378469534e-18,True
7,0.4,59,8.717713599914173e-18,True
7,0.5,65,1.6455328313818816e-17,True
7,0.6,86,1.9185864781299864e-15,True
7,0.7,115,4.0584129053256164e-16,True
7,0.8,204,1.9666998784453234e-18,True
7,0.9,999,3.944304526105059e-30,True
7,1.0,999,1.754302217701284e-05,False
8,0.1,48,3.161066363983263e-16,True
8,0.2,51,4.514247064782454e-19,True
8,0.3,56,1.8767359111506544e-18,True
8,0.4,62,1.1218737989426703e-19,True
8,0.5,70,7.038409218650414e-16,True
8,0.6,88,5.433610260125985e-16,True
8,0.7,113,5.761807393437809e-15,True
8,0.8,209,6.0773061731442245e-18,True
8,0.9,752,2.608542966338401e-21,True
8,1.0,999,5.0533992072025155e-05,False
9,0.1,51,0.0011051044947246733,False
9,0.2,46,5.569588407552409e-17,True
9,0.3,55,3.9713492409451164e-20,True
9,0.4,59,1.954421479539349e-18,True
9,0.5,66,2.1069640114352787e-15,True
9,0.6,87,6.845368914782535e-15,True
9,0.7,115,1.1688874343179623e-16,True
9,0.8,184,1.0950913465839632e-15,True
9,0.9,780,6.848127077316933e-23,True
9,1.0,999,2.9869380903455405e-05,False
10,0.1,50,4.4199993370898785e-05,False
10,0.2,53,3.896097083779076e-20,True
10,0.3,50,1.456580102065459e-13,True
10,0.4,59,3.3051598637429473e-18,True
10,0.5,67,4.536485212033616e-16,True
10,0.6,88,3.013212293687824e-16,True
10,0.7,118,4.642662097415524e-16,True
10,0.8,214,2.8956317823453337e-19,True
10,0.9,699,7.041971106543724e-22,True
10,1.0,999,2.4522670093350643e-05,False
11,0.1,56,0.006792492039089472,False
11,0.2,54,2.0333550468527594e-19,True
11,0.3,57,7.907743417780278e-22,True
11,0.4,58,5.635634385546603e-18,True
11,0.5,70,3.0126713013220045e-17,True
11,0.6,83,7.834954756741142e-16,True
11,0.7,119,1.166979751736473e-16,True
11,0.8,234,4.928063871760303e-21,True
11,0.9,999,1.6100651075560851e-27,True
11,1.0,999,6.10190070437523e-05,False
12,0.1,50,4.2038784167250434e-17,True
12,0.2,51,1.0362448596984046e-17,True
12,0.3,53,5.038759427634718e-17,True
12,0.4,60,3.512592253380248e-17,True
12,0.5,71,1.6087200071367795e-17,True
12,0.6,84,3.278770027858929e-17,True
12,0.7,127,1.9963975523297692e-18,True
12,0.8,240,7.347710937006645e-20,True
12,0.9,915,3.159458922891622e-25,True
12,1.0,999,2.2305464347532685e-05,False
13,0.1,54,0.00010001431604070372,False
13,0.2,52,5.5795306081094566e-14,True
13,0.3,52,2.8743856198679515e-17,True
13,0.4,57,1.923426884813329e-16,True
13,0.5,69,7.763729584322517e-17,True
13,0.6,84,7.26051773443245e-16,True
13,0.7,121,1.3699528848376962e-17,True
13,0.8,181,2.9500350527041483e-16,True
13,0.9,923,1.2198945038337727e-26,True
13,1.0,999,0.00010459442716413372,False
14,0.1,55,2.5711744544718756e-07,False
14,0.2,49,1.910099898575411e-18,True
14,0.3,54,3.4663715742183785e-18,True
14,0.4,64,1.110537884867015e-16,True
14,0.5,71,1.52633652073698e-17,True
14,0.6,80,9.764798236205928e-18,True
14,0.7,113,8.841556790391056e-17,True
14,0.8,209,2.849398293811941e-18,True
14,0.9,893,4.604581103775046e-27,True
14,1.0,999,0.00012033333087471985,False
