,id,school,conference,color,srs,talent
2,333,Alabama,SEC,#690014,19.6,1016.79
6,8,Arkansas,SEC,#9c1831,6.1,741.06
9,2,Auburn,SEC,#03244d,2.6,783.87
29,57,Florida,SEC,#0021A5,8.0,856.95
34,61,Georgia,SEC,#CC0000,26.1,989.76
48,96,Kentucky,SEC,#005DAA,6.8,737.33
49,99,LSU,SEC,#fdd023,13.1,872.61
64,344,Mississippi State,SEC,#762123,12.2,725.55
65,142,Missouri,SEC,#000000,5.0,715.36
82,145,Ole Miss,SEC,#001148,10.7,757.39
94,2579,South Carolina,SEC,#670010,6.7,762.63
101,2633,Tennessee,SEC,#EE9627,18.9,764.8
103,245,Texas A&M,SEC,#5C0025,3.1,947.3
120,238,Vanderbilt,SEC,#000000,-2.3,629.76
